	id	leg_term	desc	pos_tag	term_root
439	17688770455845880	гаалийн хяналт	монгол улсын нутаг дэвсгэрт гаалийн хууль тогтоомжийг мөрдүүлж, биелэлтийг нь хангуулах зорилгоор гаалийн байгууллагаас хэрэгжүүлэх цогц арга хэмжээг	NM	хяналт
504	17688770456619616	хүргэлтийн цэг	засгийн газар болон гэрээлэгчид гэрээний дагуу ногдох газрын тосыг монгол улсын нутаг дэвсгэрт хэмжиж, хуваах цэгийг	NM	цэг
302	17688770454405963	эцсийн өмчлөгч	мөнгө угаах болон терроризмыг санхүүжүүлэхтэй тэмцэх тухай хуулийн 316-д заасныг	NM	өмчлөгч
303	17688770454478864	барааны тэмдэг	иргэн, хуулийн этгээд өөрийн бараа, үйлчилгээг бусад этгээдийн бараа, үйлчилгээнээс ялгах зорилгоор хэрэглэх ялгагдах чадвартай илэрхийллийг	NM	тэмдэг
886	17688770462955530	агаарын хаалга	улсын хилийг агаарын замаар нэвтрэх газар зүйн байрлал	NM	хаалга
137	17688770451685987	нөхөн сонгууль	монгол улсын засаг захиргаа, нутаг дэвсгэрийн нэгж, түүний удирдлагын тухай хуулийн 41, 42 дугаар зүйлд зааснаар хурлын төлөөлөгчийн орон гарсан суудлыг нөхөх зорилгоор явагдах сонгуулийг ойлгоно	NM	сонгууль
989	17688770464587591	хамтарсан кино	талуудын эрх, үүрэг, санхүүжилтийн асуудал, хамтын ажиллагааны хүрээг тодорхойлсон хэлцлийн үндсэн дээр гадаад улсын иргэн, хуулийн этгээдтэй хамтран бүтээсэн киног	NM	кино
725	17688770459804383	бэлгийн дарамт	бусдыг хүсээгүй байхад нь бэлгийн сэдлээ үг хэлээр, биеэр буюу өөр хэлбэрээр илэрхийлсэн, эсхүл хурьцал үйлдэхээс аргагүй байдалд оруулсан, мөн бэлгийн сэдлийн улмаас ажил, албан тушаал, эд материал, сэтгэл санааны болон бусад байдлаар хохироох үр дагавар бүхий тэвчишгүй орчин үүсгэх, айлган сүрдүүлэх, тулган шаардах зэрэг үйлдэл, эс үйлдэхүйг, эсхүл бэлгийн сэдэлтэй аливаа үйлдлийг давуу эрх, боломж эдлүүлэх болзол болгон тавихыг	NM	дарамт
833	17688770462656867	иргэний хяналт	хууль тогтоомжийн биелэлт, цэргийн удирдлагын үйл ажиллагаа, төсвийн санхүүжилт, зарцуулалтыг нээлттэй, ил тод хянах үйл ажиллагааг	NM	хяналт
430	17688770455846846	монголын бараа	энэ хуулийн 991-д заасан горимын дагуу боловсруулалт хийснээс бусад монгол улсад үйлдвэрлэсэн бараа, бүтээгдэхүүн, эсхүл монгол улсын нутаг дэвсгэр дээр чөлөөт эргэлтэд байгаа гадаадын барааг	NM	бараа
431	17688770455848296	гадаадын бараа	энэ хуулийн 312-т зааснаас бусад барааг	NM	бараа
138	17688770451684343	дахин сонгууль	төлөөлөгчөөр сонгогдсонд тооцсон тухай шийдвэрийг хүчингүйд тооцсон бол тухайн тойрогт энэ хуульд заасны дагуу шинээр явагдах сонгуулийг ойлгоно	NM	сонгууль
305	17688770454473093	гэрчлэх тэмдэг	тухайн бараа, үйлчилгээний чанар, үйлдвэрлэх арга, бусад онцлог шинж чанарыг эрх бүхий байгууллага гэрчлэн бусад этгээдэд ашиглуулах барааны тэмдгийг	NM	тэмдэг
418	17688770455189516	эцсийн өмчлөгч	мөнгө угаах болон терроризмыг санхүүжүүлэхтэй тэмцэх тухай хуулийн 316-д заасан хүнийг	NM	өмчлөгч
920	17688770462968310	шинжлэн шалгах	гарч болзошгүй нислэг-техникийн хэргээс урьдчилан сэргийлэх зорилгоор мэдээлэл цуглуулах, дүгнэлт хийх, түүнчлэн гарсан хэргийн шалтгааныг тогтоон аюулгүй байдлын зөвлөмж бэлтгэх үйл ажиллагаа	NM	шалгах
370	17688770454712725	хүнс баяжуулах	хүнсэнд баяжуулагч бэлдмэлийг тогтоосон хэмжээ, стандартад заасан нөхцөл, технологийн дагуу үйлдвэрийн аргаар нэмэхийг	NM	баяжуулах
840	17688770462656130	цэргийн техник	цэргийн ажиллагааны бүх төрлийн хангалтыг зохион байгуулах, цэргийг сургах зориулалт бүхий зэвсэгт тэмцлийн техник, тоног төхөөрөмжийг	NM	техник
627	17688770458138653	гэрч, хохирогч	эрүүгийн хэрэг хянан шийдвэрлэх тухай хуульд заасан гэрч, хохирогчийг, монгол улсын их хурлын хяналт шалгалтын тухай хуульд заасан гэрчийг	NM	хохирогч
7	17688770450702514	гүйцэтгэх ажил	гүйцэтгэх ажлын тухай хуулийн 2 дугаар зүйлд заасан ажиллагааг	NM	ажил
942	17688770464354336	сангийн хөрөнгө	сангийн эзэмшил, өмчлөлд байгаа эдийн болон эдийн бус бүх хөрөнгийг	NM	хөрөнгө
678	17688770459072612	аврах ажиллагаа	далайд аюулд өртсөн хөлөг онгоц, хүний амь нас, эрүүл мэнд, эд хөрөнгийг аврах, тусламж үзүүлэхээр авч хэрэгжүүлж байгаа цогц үйл ажиллагааг	NM	ажиллагаа
517	17688770456758001	газрыг чөлөөлөх	тухайн газрыг эзэмших, ашиглах эрх дуусгавар болох, түүнчлэн газрыг зөвшөөрөлгүй ашигласан бол уг газар дээрх барилга байгууламж, бусад эд хөрөнгийг шилжүүлэх, газрыг засаж тохижуулах зэргээр хууль болон гэрээнд зааснаар газрыг өмчлөгчид нь эргүүлэн өгөхөд саадгүй болгохыг	NM	чөлөөлөх
601	17688770457478632	кадастрын зураг	газар болон бусад үл хөдлөх эд хөрөнгө, газрын хэвлийг ашиглахтай холбогдсон үйл ажиллагааг зохицуулахад шаардагдах дэвсгэр зураг зохиох, газрын зургийн мэдээллээр геодези, зураг зүйн мэдээллийн улсын нэгдсэн санг бүрдүүлэх зорилготой хийсэн бусад зургийг	NM	зураг
870	17688770462805124	гарааны компани	инновацийн бүтээгдэхүүн шинээр үйлдвэрлэх зорилгоор үүсгэн байгуулагдсан компанийг	NM	компани
450	17688770456276482	дамжин өнгөрөгч	монгол улсын нутаг дэвсгэрээр дамжин нэг улсаас нөгөө улсад зорчиж байгаа гадаадын иргэнийг	NM	өнгөрөгч
1121	17688770475019343	ял эдэлж байгаа	эрүүгийн хуулийн 52 дугаар зүйлд заасан үндсэн болон нэмэгдэл ялыг эдэлж дуусаагүй, эсхүл торгох ялыг биелүүлээгүй байхыг ойлгоно	NM	байгаа
156	17688770452304158	агнуурын амьтан	арьс, үс, мах болон бусад түүхий эдийг нь ашиглахаар агнаж ирсэн уламжлалтай, агнуурын нөөцтэй амьтныг	NM	амьтан
189	17688770452664020	тоон гарын үсэг	цахим гарын үсгийн тухай хуулийн 412-т заасныг	NM	үсэг
499	17688770456611042	нээлтийн цооног	газрын тосны хуримтлалыг илрүүлсэн цооногийг	NM	цооног
1022	17688770465088644	тэжээвэр амьтан	ашиг шимийг нь ашиглах болон бусад хэрэгцээнд зориулан гэршүүлэн үржүүлж байгаа амьтныг	NM	амьтан
991	17688770464588081	кино үйлдвэрлэл	кино бүтээх, түгээхтэй холбоотой цогц үйл ажиллагааг	NM	үйлдвэрлэл
314	17688770454472522	лицензийн гэрээ	барааны тэмдэг эзэмшигч бүртгэгдсэн барааны тэмдгийг бусад этгээдэд ашиглуулах тухай бичгээр байгуулсан хэлцлийг	NM	гэрээ
550	17688770457232995	гамшгийн эрсдэл	гамшгийн улмаас хүн ам, мал, амьтан, эд хөрөнгө, хүрээлэн байгаа орчинд учирч болзошгүй хохирлын магадлалыг	NM	эрсдэл
135	17688770451672163	ээлжит сонгууль	монгол улсын үндсэн хуулийн тавин есдүгээр зүйлийн 3 дахь хэсэг, монгол улсын засаг захиргаа, нутаг дэвсгэрийн нэгж, түүний удирдлагын тухай хуулийн 33 дугаар зүйлийн 332 дахь хэсэгт зааснаар дөрвөн жил тутам явагдаж байгаа сонгуулийг ойлгоно	NM	сонгууль
414	17688770455174988	виртуал хөрөнгө	аливаа улсын албан ёсны мөнгөн тэмдэгт, үнэт цаасны дижитал хэлбэр, эсхүл монголбанкны зөвшөөрөлтэй цахим мөнгөнөөс бусад дижиталаар шилжүүлэх, арилжаалах боломжтой төлбөрийн, эсхүл хөрөнгө оруулалтын зорилгоор ашиглагдах үнэ цэнийн дижитал илэрхийлэл бүхий эдийн бус хөрөнгийг	NM	хөрөнгө
129	17688770451675848	итгэмжилсэн хүн	сонгогч өөрөө тухайлан сонгож, санал өгөхөд нь унших, бичих хэлбэрээр туслалцаа үзүүлэх чадвартай, насанд хүрсэн, эрх зүйн бүрэн чадамжтай иргэнийг	NM	хүн
134	17688770451675179	ял эдэлж байгаа	эрүүгийн хуулийн 52 дугаар зүйлд заасан үндсэн болон нэмэгдэл ялыг эдэлж дуусаагүй, эсхүл торгох ялыг биелүүлээгүй байхыг	NM	байгаа
1006	17688770464885018	концессын гэрээ	концессыг хэрэгжүүлэхээр эрх бүхий этгээд, концесс эзэмшигч нарын хооронд бичгээр байгуулсан гэрээг	NM	гэрээ
566	17688770457242387	мэргэжлийн анги	сум, дүүрэг, хуулийн этгээдийн дэргэд байгуулагдсан, аврах ажлын техник, тоног төхөөрөмж, багаж хэрэгслээр хангагдсан, гамшгаас хамгаалах үйл ажиллагааг гүйцэтгэхэд сургаж бэлтгэгдсэн орон тооны бус томилгоот нэгжийг	NM	анги
116	17688770451391940	эцсийн эзэмшигч	татварын ерөнхий хуулийн 6148-д заасныг ойлгоно	NM	эзэмшигч
347	17688770454607055	буулгалтын ажил	ашиглалтын шаардлага хангахгүй болсон, хууль тогтоомж, барилга байгууламжийн норм, нормативын баримт бичгийн шаардлагыг ноцтой зөрчиж баригдсан нь эрх бүхий байгууллагаас тогтоогдсон барилга байгууламжийг бүхэлд нь, эсхүл хэсэгчлэн буулгах үйл ажиллагааг	NM	ажил
80	17688770451179015	агаар хамгаалах	хүрээлэн байгаа агаар бохирдохоос урьдчилан сэргийлэх, бохирдлыг бууруулах, агаарын чанарын төлөв байдлыг зохих түвшинд байлгах, тэдгээрт хяналт тавих ажиллагааг	NM	хамгаалах
472	17688770456546204	тоног төхөөрөмж	газрын тосны бүтээгдэхүүнийг импортлох, үйлдвэрлэх, худалдах, тээвэрлэх, хадгалах, чанарын шалгалт хийхэд ашиглах шахуурга, түгээгүүр, хэмжих, тохируулах, ачих, буулгах хэрэгсэл, хадгалах сав, дамжуулах хоолой, хаалт зэрэг механик болон автомат ажиллагаатай техник хэрэгслийг	NM	төхөөрөмж
763	17688770460103844	замын хөдөлгөөн	нийтийн хэрэгцээний зам дээр явганаар болон тээврийн хэрэгслээр хүн, ачаа шилжих үйл ажиллагааг	NM	хөдөлгөөн
755	17688770460028093	сайн дурын ажил	залуучуудын идэвх санаачилгаар явуулж байгаа ашгийн төлөө бус нийтэд тустай үйл ажиллагааг	NM	ажил
231	17688770453024504	уурхайн эдэлбэр	уурхайн талбайтай давхацсан, ашигт малтмал олборлох геологийн тогтоцын хэсгийг	NM	эдэлбэр
781	17688770460996783	шүүхийн тогтоол	захиргааны хэрэг шүүхэд хянан шийдвэрлэх ажиллагааны явцад шүүх бүрэлдэхүүнээс гаргасан болон хяналтын шатны шүүхээс захиргааны хэргийг хянан хэлэлцэж гаргасан шийдвэрийг	NM	тогтоол
376	17688770454756877	спортын тэмцээн	тогтоосон дүрмийн дагуу өрсөлдөх үйл явцыг	NM	тэмцээн
1093	17688770473477725	ээлжит сонгууль	монгол улсын үндсэн хуулийн гучдугаар зүйлийн 2 дахь хэсэгт зааснаар зургаан жил тутам явагдах сонгуулийг	NM	сонгууль
1092	17688770473472846	ял эдэлж байгаа	эрүүгийн хуулийн 52 дугаар зүйлд заасан үндсэн болон нэмэгдэл ял, тэнсэх, албадлагын арга хэмжээг эдэлж дуусаагүй байхыг	NM	байгаа
387	17688770454841144	суурь боловсрол	9 жилийн сургалтын агуулгын түвшинг	NM	боловсрол
391	17688770454846455	албан боловсрол	боловсролын албан ёсны байгууллагаар дамжуулж, суралцагчийн ерөнхий болон мэргэжлийн зохих түвшний боловсрол эзэмших хэрэгцээг хангадаг боловсролын зохион байгуулагдсан үйл ажиллагааг	NM	боловсрол
395	17688770454845372	сургалтын орчин	боловсролын стандартыг хэрэгжүүлэхэд шаардагдах материаллаг нөхцөл болон сурах, сургах харилцааг	NM	орчин
842	17688770462653165	цэргийн байрлал	тайван цагт цэргийн нэгтгэл, анги, байгууллага, цэргийн сургуулийн талбар, бүс, цэргийн болон хээрийн хотхон, суурин, бааз болгон тогтоосон нутаг дэвсгэрийг	NM	байрлал
367	17688770454711004	баяжуулсан хүнс	аминдэм, эрдэс бодисыг дангаар болон холимог хэлбэрээр үйлдвэрийн аргаар нэмж үйлдвэрлэсэн хүнсийг	NM	хүнс
592	17688770457413990	үр шимийн гэрээ	генетик нөөц, генетик нөөцтэй холбоотой уламжлалт мэдлэгийг ашиглах, тэдгээрийг ашигласнаас үүдэх үр шимийг хүртэх нөхцөлийг тодорхойлсон генетик нөөцтэй холбоотой уламжлалт мэдлэг эзэмшигч ба ашиглах хүсэлт гаргагчийн хооронд байгуулсан гэрээг	NM	гэрээ
61	17688770451105354	органик уусгагч	ердийн агаарын хэм, даралтын нөхцөлд их хэмжээгээр агаарт уурших органик бодисыг	NM	уусгагч
1122	17688770475024720	ээлжит сонгууль	монгол улсын үндсэн хуулийн хорин нэгдүгээр зүйлийн 2 дахь хэсэгт зааснаар дөрвөн жил тутам явагдах сонгуулийг ойлгоно	NM	сонгууль
19	17688770450863707	замын байгууламж	бүх төрлийн гүүр, тавилан, гүүрэн гарц, унадаг дугуй болон явган зорчигч, хөгжлийн бэрхшээлтэй хүн зорчиход зориулсан зам, ус зайлуулах хоолой, шуудуу, хонгил, замын хөдөлгөөнийг зохицуулах болон хөдөлгөөний аюулгүй байдлыг хангах зориулалттай төхөөрөмж, авто замын зурвас газарт байгаа төлбөр авах цэг, авто зогсоол болон бусад байгууламжийг	NM	байгууламж
29	17688770450864599	магадлашгүй ажил	авто зам, замын байгууламжийн барилгын ажил гүйцэтгэх явцад зайлшгүй хийгдэх нэмэлт ажлыг	NM	ажил
1111	17688770473984194	орон нутгийн өмч	орон нутгийн чиг үүргийг хэрэгжүүлэх зорилгоор хууль тогтоомжид заасны дагуу эзэмших, ашиглах, захиран зарцуулах хөрөнгийг	NM	өмч
25	17688770450869467	зөвлөх үйлчилгээ	төрийн болон орон нутгийн өмчийн хөрөнгөөр бараа, ажил үйлчилгээ худалдан авах тухай хуулийн 5115-д заасныг	NM	үйлчилгээ
359	17688770454609159	өргөх байгууламж	босоо болон хэвтээ чиглэлд хүн, ачаа өргөх, тээвэрлэх зориулалт бүхий суурин болон хөдөлгөөнт тоног төхөөрөмжийг	NM	байгууламж
717	17688770459612024	сургуулийн орчин	сургуулийн байр, дотуур байр болон газрын тухай хуулийн 33 дугаар зүйлийн 3311 дэх заалтад заасны дагуу сургуульд эзэмшүүлсэн газар, түүнээс эргэн тойронд 150 метр хүртэлх газрыг	NM	орчин
710	17688770459477254	сургалтын төлбөр	боловсролын тухай хуулийн 341, 36114-т заасны дагуу удирдах зөвлөлөөс тогтоосон суралцагчийн төлөх төлбөрийн хэмжээг	NM	төлбөр
296	17688770454404560	мөнгөн хадгаламж	гэрээний үндсэн дээр иргэн, хуулийн этгээд, монгол улсын хууль тогтоомжийн дагуу эрх зүйн байдал нь тодорхойлогдсон этгээдээс банк, эрх бүхий хуулийн этгээдэд хадгалуулсан үндэсний мөнгөн тэмдэгт-төгрөг болон гадаад улсын мөнгөн тэмдэгтээр илэрхийлэгдэх мөнгөн хөрөнгийг	NM	хадгаламж
321	17688770454477361	парисын конвенци	1883 оны 3 дугаар сарын 20-ны өдөр байгуулсан, нэмэлт, өөрчлөлт оруулж хянан засварласан аж үйлдвэрийн өмчийг хамгаалах тухай парисын конвенцийг	NM	конвенци
424	17688770455685386	ойролцоо хугацаа	үнэлж буй импортын барааны гаалийн үнийг гаалийн байгууллагад мэдүүлсэн өдрөөс өмнөх 90 хоногийг	NM	хугацаа
412	17688770455128551	вексель эзэмшигч	уг векселиэр гэрчлэгдсэн эрхийг эзэмшиж байгаа иргэн ба хуулийн этгээд бөгөөд нийлүүлсэн бараа, үзүүлсэн ажил, үйлчилгээнийхээ төлбөр нэхэмжлэгчийг хэлнэ	NM	эзэмшигч
417	17688770455181864	холбогдох этгээд	виртуал хөрөнгийн үйлчилгээ үзүүлэгчийн эцсийн өмчлөгч, хуулийн этгээдийн хувьцааны тав, түүнээс дээш хувийг эзэмшдэг хүн, хуулийн этгээд, хуулийн этгээдийн нэгдлийг	NM	этгээд
306	17688770454474026	газар зүйн заалт	тухайн газар нутгийн байгаль, цаг уурын нөхцөл, эсхүл тухайн газар нутгийн хүмүүсийн дадал заншил зэрэг хүчин зүйлээр тодорхойлогдсон чанар, нэр хүнд, бусад онцлог шинж чанар бүхий бараа, бүтээгдэхүүнийг үйлдвэрлэсэн улс, бүс, газар нутгийн газар зүйн нэрийг	NM	заалт
352	17688770454602062	зөвлөх үйлчилгээ	барилгын үе шатны ажил гүйцэтгэх, норм, нормативын баримт бичиг боловсруулах, барилгын материалын үйлдвэрлэлийн технологийн сонголт, механик-автоматжуулалт, тохируулга, зүгшрүүлэх, чанар аюулгүй байдлын түвшин, төлөв байдлыг тогтооход шаардлагатай мэргэжил, тусгай мэдлэг, ур чадварын үндсэн дээр үзүүлж байгаа мэргэжлийн үйлчилгээг	NM	үйлчилгээ
884	17688770462952894	агаарын навигаци	агаарын хөлгийн байршил, хөдөлгөөнийг тодорхойлох, удирдан чиглүүлэхтэй холбогдсон үйл ажиллагааны цогцолбор	NM	навигаци
206	17688770452797022	стандартын хороо	нягтлан бодох бүртгэлийн тухай хуулийн 211-д заасан хороог	NM	хороо
257	17688770453758531	хянан магадлагаа	батлагдсан байгаль орчинд нөлөөлөх байдлын үнэлгээний тайлан, дүгнэлт үнэн зөв эсэхэд мэргэжлийн дүгнэлт гаргах үйл ажиллагааг	NM	магадлагаа
770	17688770460404390	зар сурталчилгаа	"иргэн, аж ахуйн нэгж, байгууллагаас бараа, ажил, үйлчилгээ, төсөл, үйл ажиллагаа /цаашид ""бүтээгдэхүүн"" гэх/-ны зах зээлийн эрэлтийг нэмэгдүүлэх, боломжит хэрэглэгчийн анхаарлыг татах зорилгоор олон нийтийн хэвлэл мэдээллийн хэрэгсэл болон бусад хэлбэрээр түгээсэн мэдээллийг"	NM	сурталчилгаа
491	17688770456613979	оператор компани	гэрээлэгчийн газрын тос, уламжлалт бус газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх монгол улсад бүртгэлтэй, татвар төлөгч компанийг	NM	компани
489	17688770456614995	хайгуулын талбай	газрын тосны асуудал эрхэлсэн төрийн захиргааны байгууллагаас хайгуул хийхээр зарласан талбайг	NM	талбай
462	17688770456276860	визийн зөвшөөрөл	гадаадын иргэний асуудал эрхэлсэн төрийн захиргааны байгууллага, эсхүл гадаад харилцааны асуудал эрхэлсэн төрийн захиргааны төв байгууллагаас монгол улсаас хилийн чанадад суугаа дипломат төлөөлөгчийн газарт гадаадын иргэнд виз олгохыг зөвшөөрч олгосон баримт бичгийг	NM	зөвшөөрөл
460	17688770456279905	монгол улсын виз	эрх бүхий байгууллагаас олгосон монгол улсын хилээр нэвтрэх, монгол улсад тодорхой хугацаанд байх зөвшөөрлийг	NM	виз
756	17688770460025598	залуучууд судлал	залуучуудын нийгэм, улс төрийн оролцоо, нас сэтгэхүй, хөгжлийг судлахад чиглэсэн шинжлэх ухааны нэг салбар судлалыг	NM	судлал
456	17688770456276089	харьяалалгүй хүн	аль ч улсын харьяат бус хүнийг	NM	хүн
683	17688770459165023	хэрэг гүйцэтгэгч	хариуцагчийг татан буулгах, эсхүл дахин хөрөнгөжүүлэх ажлыг эрхлэн гүйцэтгэгч, дахин хөрөнгөжүүлэх ажиллагаанд хяналт тавих, хариуцагчийн эд хөрөнгийг хамгаалах эрхтэйгээр нэхэмжлэгчдийн хурлаас санал болгосноор шүүхийн томилсон этгээдийг	NM	гүйцэтгэгч
868	17688770462808271	инновацийн төсөл	санхүүжилтийн шаардлага, зохион байгуулалтын нөхцөлд нийцүүлэн инновацийн бүтээгдэхүүн, үйлчилгээг зах зээлд нэвтрүүлэх цогц үйл ажиллагааг тодорхой цаг хугацаанд хэрэгжүүлэхээр төлөвлөсөн баримт бичгийг	NM	төсөл
1036	17688770465081248	тэжээлийн нэмэлт	мал, амьтны бие махбодын үйл ажиллагааг дэмжих, зохицуулах үйлчилгээ бүхий дан болон олон найрлагат бэлдмэлийг	NM	нэмэлт
698	17688770459334784	донор бэлгийн эс	өөр хүний эр, эм бэлгийн эсийг	NM	эс
1007	17688770464889072	концесс эзэмшигч	энэ хуульд заасан журмын дагуу концесс авсан монгол улсын болон гадаад улсын хуулийн этгээд, түүний нэгдлийг	NM	эзэмшигч
869	17688770462804929	инновацийн грант	иргэн, хуулийн этгээд, гадаадын болон олон улсын байгууллага урьдчилан нөхцөл, болзол тавьсны үндсэн дээр инновацийн тодорхой төсөлд буцалтгүй олгож байгаа мөнгөн болон бусад хөрөнгийг	NM	грант
435	17688770455845569	гаалийн мэдүүлэг	мэдүүлэгчийн сонгосон гаалийн бүрдүүлэлтийн горимын дагуу шаардагдах мэдээлэл агуулсан бичиг баримтыг	NM	мэдүүлэг
1010	17688770464881117	эрх бүхий этгээд	төрийн өмчийн концессын зүйлийн хувьд концессын асуудал эрхэлсэн төрийн захиргааны байгууллагыг, орон нутгийн өмчийн концессын зүйлийн хувьд аймаг, нийслэлийн засаг даргыг	NM	этгээд
229	17688770453023883	хайгуулын талбай	энэ хуулийн 4115-д заасан тусгай зөвшөөрлөөр олгогдсон талбайг	NM	талбай
107	17688770451388872	системийн саатал	"эрх бүхий этгээд хоорондын хэлэлцээрт заасан үүргийг хэлэлцээрт зааснаас бусад шалтгаанаар хэрэгжүүлэхээс түдгэлзсэн, эсхүл монгол улсад байрладаг группийн оролцогч группийн улс бүрээр үнэ шилжилтийн тайлан /цаашид ""улс бүрээр тайлан"" гэх/-г монгол улсад тогтмол ирүүлээгүй нөхцөл байдлыг"	NM	саатал
124	17688770451484843	хүлээн авагч улс	гадаадад хөдөлмөр эрхлэхэд зуучлах гэрээ байгуулсан гадаад улсыг	NM	улс
659	17688770458956686	дайчилгааны нөөц	дайчилгаа зарласан тохиолдолд дайчлан татахаар төлөвлөсөн байгууллага, аж ахуйн нэгж, иргэний өмчлөлд байгаа зэвсэг, техник, эд хөрөнгийг	NM	нөөц
823	17688770462568324	нийтэд дамжуулах	бүтээл, хамаарах эрхийн объектыг утастай, эсхүл утасгүй сүлжээгээр аливаа хэлбэрээр, хэрэглэгчийн өөрийн сонгосон цаг, газраас хүртэх боломжтой байдлаар нийтэд хүргэхийг	NM	дамжуулах
1064	17688770465309663	мал бүхий этгээд	энэ хуулийн 312-т зааснаас бусад малыг өмчилж байгаа этгээдийг	NM	этгээд
93	17688770451302660	биет бус хөрөнгө	иргэний хуулийн 845-д заасан эдийн бус хөрөнгийг	NM	хөрөнгө
100	17688770451314304	хайгуулын зардал	ашигт малтмалын тухай хуулийн 416, газрын тосны тухай хуулийн 418-д заасан болон цацраг идэвхт ашигт малтмалын хайгуулын үйл ажиллагаа эрхлэхтэй шууд холбогдон гарсан баримтаар нотлогдох зардал	NM	зардал
861	17688770462744735	зээлийн лавлагаа	зээлийн мэдээллийн сангаас цахим болон бичгийн хэлбэрээр хэрэглэгчид өгөх зээлийн мэдээлэл болон зээлийн түүхийн мэдээллийг	NM	лавлагаа
624	17688770457978017	хамтран амьдрагч	гэрлэлтээ бүртгүүлээгүй ч харилцан тохиролцсоны үндсэн дээр гэр бүлийн харилцаа үүсгэн хамтран амьдарч байгаа этгээдийг	NM	амьдрагч
637	17688770458341469	зохицуулах хороо	даатгалын тухай хуулийн 121-д заасан байгууллагыг	NM	хороо
1139	17688770475646909	найруулгын санал	хууль, улсын их хурлын бусад шийдвэрийн төслийн үзэл баримтлал, агуулга, зарчмыг алдагдуулахгүйгээр зүйл, хэсэг, заалтыг уялдуулан дэс дараалал, бүтцэд өөрчлөлт оруулах, нэр томьёог жигдлэх, үг, өгүүлбэр, хэллэгийг монгол хэлний дүрэмд нийцүүлэхтэй холбоотой саналыг	NM	санал
850	17688770462742473	зээлийн мэдээлэл	зээлдүүлэгчийн өмнө хууль, гэрээгээр хүлээсэн зээлдэгчийн зээл, төлбөрийн талаарх мэдээллийг	NM	мэдээлэл
583	17688770457415904	генетик материал	ургамал, амьтан, бичил биетний болон бусад эх үүсвэрээс гаралтай удамшлын бүтэц, үйл ажиллагааны нэгж агуулсан аливаа бүрэлдэхүүнийг	NM	материал
71	17688770451179312	агаарын бохирдол	хүрээлэн байгаа агаарт шууд хаягдсан, эсхүл физик, химийн урвалын дүнд шинээр үүсэж бий болсон бохирдуулах бодисын агууламж нь агаарын чанарын стандартаас хэтрэхийг	NM	бохирдол
599	17688770457479456	геодезийн сүлжээ	геодезийн байнгын цэг, тэмдэгтүүдийн тогтолцоог	NM	сүлжээ
567	17688770457245005	сайн дурын хэсэг	сайн дурын үндсэн дээр гамшгаас хамгаалах үйл ажиллагаанд оролцохоор зохих сургалтад хамрагдсан иргэдийг	NM	хэсэг
152	17688770452309600	нэн ховор амьтан	тархац нутагтаа бүхэлдээ, эсхүл ихэнх хэсэгт тоо толгой эрс цөөрсөн, ашиглах нөөцгүй, устах аюулд орсон амьтныг	NM	амьтан
1044	17688770465215156	уламжлалт мэдлэг	малын генетик нөөцийг ашиглах явцад өвлөгдөн уламжлагдаж ирсэн арга, аман болон бичгэн хэлбэрийн мэдээлэл, дадал заншлыг	NM	мэдлэг
1047	17688770465215591	малын генийн сан	тусгай орчинд хадгалагдаж байгаа малын үржүүлгийн бүтээгдэхүүний сорьц, дээж, цуглуулгыг	NM	сан
1051	17688770465214150	мал бүхий этгээд	малын тоо толгойн албан татварын тухай хуулийн 313-т заасныг	NM	этгээд
502	17688770456614475	газрын тосны орд	геологийн хувьсал, өөрчлөлтөөр газрын хэвлийд үүссэн, чанар, нөөц нь тогтоогдсон газрын тосны хуримтлал бүхий бүтэц, давхарга зүйн онцлогоор төстэй нэг буюу хэд хэдэн хураагуурыг	NM	орд
1070	17688770473354649	батлан хамгаалах	монгол улсын тусгаар тогтнол, бүрэн эрхт байдал, нутаг дэвсгэрийн бүрэн бүтэн байдлыг гадны зэвсэгт халдлага, түрэмгийллээс хамгаалахад улсын бэлэн байдлыг хангах, хамгаалах зорилго бүхий улс төр, эдийн засаг, нийгэм, эрх зүй, мэдээллийн болон цэргийн нэгдмэл арга хэмжээг	NM	хамгаалах
650	17688770458579679	холбогдох этгээд	даатгагч болон даатгалын үйл ажиллагаа эрхэлж байсан, тэдэнд хувьцааны хяналтын багцаа эзэмшүүлдэг хуулийн этгээд, уг хуулийн этгээдийн хувьцааны хяналтын багцыг эзэмшдэг аливаа иргэн, хуулийн этгээд болон компанийн тухай хуулийн 971-д заасан нэгдмэл сонирхолтой этгээдийг	NM	этгээд
814	17688770462563041	өргөн нэвтрүүлэг	бүтээл, тоглолт, эсхүл фонограммыг утасгүй сүлжээгээр болон хиймэл дагуулаар олон нийтэд дамжуулахыг, мөн өргөн нэвтрүүлгийн байгууллага өөрөө, эсхүл түүний зөвшөөрөлтэйгөөр шифр тайлах боломжийг олгож шифрлэсэн дохиог дамжуулахыг	NM	нэвтрүүлэг
512	17688770456639904	ашигт газрын тос	хүргэлтийн цэг дээр хэмжсэн нийт газрын тосноос энэ хуулийн 4126, 4132-т заасан газрын тосыг хасаад засгийн газар болон гэрээлэгчийн хооронд хуваах газрын тосыг	NM	тос
